Product_Collection,Vertical_Segment,Processor_Number,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Max_Turbo_Frequency,Cache,Bus_Speed,TDP,Embedded_Options_Available,Conflict_Free,Max_Memory_Size,Memory_Types,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,ECC_Memory_Supported,PCI_Express_Revision,PCI_Express_Configurations_,Max_nb_of_PCI_Express_Lanes,T,Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Intel_64_,Instruction_Set,Instruction_Set_Extensions,Idle_States,Thermal_Monitoring_Technologies,Secure_Key,Execute_Disable_Bit,,,,,,
Intel Xeon Processor D Family,Server,E5-2698V4,$3,226,20,40,2.20 GHz,3.60 GHz,50 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,3,x4, x8, x16,40,90Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor D Family,Server,E5-2699V4,$4,115,22,44,2.20 GHz,3.60 GHz,55 MB SmartCache,9.6 GT/s QPI,145 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,3,x4, x8, x16,40,79Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor D Family,Server,E5-4610V4,$1,219,10,20,1.80 GHz,1.80 GHz,25 MB,6.4 GT/s QPI,105 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,79,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor D Family,Server,E5-4620V4,$1,668,10,20,2.10 GHz,2.60 GHz,25 MB,8 GT/s QPI,105 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,79,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor D Family,Server,E5-4627V4,$2,225,10,10,2.60 GHz,3.20 GHz,25 MB,8 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,82,No,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor D Family,Server,E5-4640V4,$2,837,12,24,2.10 GHz,2.60 GHz,30 MB,8 GT/s QPI,105 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,80,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor D Family,Server,E5-4650V4,$3,838,14,28,2.20 GHz,2.80 GHz,35 MB,9.6 GT/s QPI,105 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,80,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor D Family,Server,E5-4655V4,$4,616,8,16,2.50 GHz,3.20 GHz,30 MB,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,82,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v2 Family,Server,E5-4660V4,$4,727,16,32,2.20 GHz,3.00 GHz,40 MB,9.6 GT/s QPI,120 W,Yes,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,83,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v2 Family,Server,E5-4667V4,$5,729,18,36,2.20 GHz,3.00 GHz,45 MB,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,87,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
